conference,metric,measure
SOSP,TH,517.1339285714286
SOSP,BR,211.8421052631579
SOSP,LT,74.85
SOSP,IN,86.3
SOSP,ET,60.5
SOSP,WA,29.0
SOSP,AC,237.5
SOSP,PR,68.5
SOSP,LOC,720.0
SOSP,C,73.75
SOSP,EF,117.0
SOSP,MT,59.5
SOSP,EN,52.833333333333336
SOSP,BW,0.0
SOSP,ER,0.0
SOSP,SP,0.0
SOSP,OV,0.0
SOSP,FL,0.0
SOSP,IPC,0.0
SOSP,AV,0.0
EuroSys,BR,16.5
EuroSys,ET,191.905
EuroSys,WA,1972.0
EuroSys,TH,933.3528169014085
EuroSys,LT,466.7260869565218
EuroSys,C,106.71428571428571
EuroSys,SP,239.75
EuroSys,BW,562.4
EuroSys,EF,66.48333333333333
EuroSys,MT,900.0
EuroSys,PR,30.0
EuroSys,EN,966.5
EuroSys,AC,13.0
EuroSys,LOC,35.0
EuroSys,ER,0.0
EuroSys,OV,0.0
EuroSys,FL,0.0
EuroSys,IN,0.0
EuroSys,IPC,0.0
EuroSys,AV,0.0
MICRO,EF,3110.3106382978726
MICRO,TH,5419.660851063829
MICRO,AC,428.965
MICRO,ET,744.8592307692307
MICRO,MT,54.11666666666667
MICRO,PR,29.0
MICRO,SP,637.375
MICRO,WA,62.05714285714286
MICRO,BW,126.0
MICRO,EN,106.27184210526316
MICRO,LT,947.5288888888889
MICRO,ER,865.05
MICRO,C,396.95
MICRO,IPC,45.45
MICRO,FL,82.45
MICRO,IN,50.0
MICRO,AV,53.0
MICRO,BR,29.0
MICRO,OV,33.75
MICRO,LOC,0.0
